laptop_names,laptop_ids,laptop_moneys,laptop_chips,laptop_memories,laptop_storages,laptop_video_cards
"Microsoft Surface Laptop Go i5 1035G1/8GB/128GB/12.4"" Touch/Win10",(No.00775354),14.890.000,Intel Core i5 1035G1,8  LPDDR4X 3733 MHz,SSD 128,Intel UHD Graphics
"Laptop MSI Gaming Cyborg 15 A12VE-240VN i7 12650H/8GB/512GB/15.6""FHD/GeForce RTX 4050 6GB/Win 11 + Balo",(No.00863701),24.690.000,Intel Core i7 12650H,8  (1 thanh 8 ) DDR5 4800 MHz,SSD 512,NVIDIA GeForce RTX 4050 6GB GDDR6; Intel UHD Graphics
"Laptop Asus Zenbook Flip UP3404VA-KN038W i5 1340P/16GB/512GB/14"" OLED Touch/Win11",(No.00866538),29.490.000,Intel Core i5 1340P,16  LPDDR5 5500 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop MSI Gaming Katana GF66 12UCK-815VN i5 12450H/8GB/512GB/15.6""/GeForce RTX 3050 4GB/Win11_Balo",(No.00842517),17.990.000,Intel Core i5 12450H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics
"Laptop Acer Aspire 3 A315-58-53S6 i5 1135G7/8GB/256GB/15.6""FHD/Win 11",(No.00816129),11.490.000,Intel Core i5 1135G7,8  (2 thanh 4 ) DDR4 2400 MHz,SSD 256,Intel Iris Xe Graphics
"Laptop Lenovo IdeaPad 3 14IAU7 i3 1215U/8GB/512GB/14""FHD/Win 11",(No.00836270),14.290.000,Intel Core i3 1215U,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel UHD Graphics
"Laptop Lenovo IdeaPad 3 14IAU7 i3 1215U/8GB/512GB/14.0""FHD/Win 11",(No.00858326),14.190.000,Intel Core i3 1215U,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel UHD Graphics
"Laptop Acer Swift Edge SFA16-41-R3L6 R7 6800U/16GB/1TB/16"" WQUXGA/Win11",(No.00884868),36.990.000,AMD Ryzen 7 6800H,16  (1 thanh 16 ) LPDDR5 6400 MHz,SSD 1 TB,AMD Radeon Graphics
"Laptop MSI Creator M16 B13VE-830VN i7 13700H/16GB/512GB SSD/16""FHD/RTX4050 8GB/Win 11",(No.00881433),37.290.000,Intel Core i7 13700H,16  DDR5 5200 MHz,SSD 512,NVIDIA GeForce RTX 4050 6GB GDDR6
"Laptop MSI Summit E14 Evo A12M-211VN i7 1280P/16GB/512GB/14""FHD/Win11/Túi/Chuột",(No.00881875),23.290.000,Intel Core i7 1280P,16  LPDDR5 4800 MHz,SSD 512,Intel Iris Xe Graphics
MacBook Pro 16 inch M2 Max 2023 12CPU 38GPU 32GB/1TB,(No.00856989),85.690.000,Apple M2 Max 12-Core,32  Hãng không công bố Hãng không công bố,SSD 1 TB,Apple M2 Max 38-core GPU
MacBook Pro 16 inch M2 Pro 2023 12CPU 19GPU 32GB/512GB,(No.00857495),76.990.000,Apple M2 Pro 12-Core,32  (1 thanh 16 ) Hãng không công bố Hãng không công bố,SSD 512,Apple M2 Pro 16-core GPU
"Laptop MSI Gaming Raider GE68HX 13VG-048VN i7 13700HX/32GB/2TB/16""QHD/RTX4070 8GB/Win11/Balo",(No.00888282),60.990.000,Intel Core i7 13700HX,32  (2 thanh 16 ) DDR5 5600 MHz,SSD 2 TB,NVIDIA Geforce RTX 4070 8GB GDDR6; Intel UHD Graphics
MacBook Pro 16 inch M2 Pro 2023 12CPU 19GPU 16GB/512GB,(No.00856985),58.990.000,Apple M2 Pro 12-Core,16  (1 thanh 16 ) Hãng không công bố Hãng không công bố,SSD 512,Apple M2 Pro 16-core GPU
MacBook Pro 14 inch M2 Pro 2023 10CPU 16GPU 32GB/512GB,(No.00857496),58.490.000,Apple M2 Pro 10-Core,32  Hãng không công bố Hãng không công bố,SSD 512,Apple M2 Pro 16-core GPU
MacBook Pro 14 inch M1 Pro 2021 10CPU 16GPU 16GB/1TB,(No.00777788),49.990.000,Apple M1 Pro,16,SSD 1 TB,Apple M1
